순번,구분,기관명,주소,전화번호,전년도 기관 평가등급,전년도 취업률,월 급여 241만원 이상 일자리 취업률,6개월 이상 취업자 고용유지율
1,고용센터,서울강남고용센터,"서울특별시 강남구 테헤란로 410(대치동) 금강타워 3, 7~10F ",02-3468-4794,,,,
2,국취-위탁,(주)맥시머스,서울특별시 강남구 논현로 503(역삼동) 19층 ,070-8633-6989,,,,
3,국취-위탁,국제커리어센터 서울강남지점,서울특별시 강남구 테헤란로22길 11(역삼동) 2층 ,02-556-8114,,,,
4,국취-위탁,(사)한국직업지도진흥원 강남센터,서울특별시 강남구 테헤란로44길 5(역삼동) 3층 ,02-565-1132,,,,
5,국취-위탁,(주)스카우트,서울특별시 강남구 언주로 431(역삼동) 삼봉빌딩 3층 ,02-2188-6796,,,,
6,국취-위탁,(주)이음길에이치알,서울특별시 강남구 테헤란로 419(삼성동) 14층 ,02-6949-1257,,,,
7,국취-위탁,(주)커리어넷서울강남지사,서울특별시 강남구 테헤란로43길 10(역삼동) 2층 ,02-569-6527,,,,
8,고용센터,서울고용센터,"서울특별시 중구 삼일대로 363(장교동) 1~4층, 10층 ",02-2004-7301,,,,
9,국취-위탁,(사)여성중앙회 종로여성인력개발센터,서울특별시 종로구 명륜4가 대학로11길 23(명륜4가) 스타시티빌딩 2~4층 ,02-742-1326,,,,
10,국취-위탁,(사)한국직업지도진흥원 동대문센터,서울특별시 동대문구 왕산로 225(청량리동) A동 425호 ,02-959-1910,,,,
11,국취-위탁,(주)유니에스 회기센터,서울특별시 동대문구 이문로 38(휘경동) 5층 ,02-6011-1507,,,,
12,국취-위탁,(주)지에스씨넷서울지점,서울특별시 서초구 강남대로41길 8(서초동) 태연빌딩 5층 ,02-597-1949,,,,
13,국취-위탁,(주)지오코칭,서울특별시 중구 필동2가 퇴계로 202(필동2가) 풍산빌딩 401호 ,02-2275-2553,,,,
14,국취-위탁,㈜메이크인,"서울특별시 중구 광희동2가 퇴계로 344(광희동2가) B1,2층 ",02-2291-7070,,,,
15,국취-위탁,㈜잡모아 동대문지점,서울특별시 중구 마른내로 136(쌍림동) 서림빌딩 602호 ,02-2293-8883,,,,
16,국취-위탁,인지어스(유) 동대문지사,서울특별시 동대문구 왕산로 225(청량리동) A동 402-2호 ,02-6215-7723,,,,
17,고용센터,서초고용센터,서울특별시 서초구 반포대로 43(서초동)  ,02-580-4900,,,,
18,고용센터,서울동부고용센터,서울특별시 송파구 중대로 135(가락동) IT벤처타워 동관 3~5층 ,02-2142-8924,,,,
19,국취-위탁,(주)대신능력개발취업센터,서울특별시 강동구 양재대로 1377(성내동) 3층 ,02-475-3344,,,,
20,국취-위탁,(주)유니에스 동부센터,서울특별시 광진구 능동로 275(군자동) 2층 ,02-6011-1489,,,,
21,국취-위탁,(주)잡모아 천호지점,서울특별시 강동구 올림픽로 620(성내동) 7층 ,02-471-0070,,,,
22,국취-위탁,(주)제이엠커리어 서울숲센터,서울특별시 성동구 성수동1가 왕십리로 58(성수동1가) 808호 ,02-2284-0077,,,,
23,국취-위탁,(주)코리아잡스원 서울지점,서울특별시 송파구 중대로 105(가락동) 1103호 ,02-430-8555,,,,
24,국취-위탁,국제커리어센터서울동부,"서울특별시 강동구 올림픽로 660(천호동, 천호엘크루주상복합) 204호 ",02-472-6114,,,,
