기업명,이직 사유,유사도,유형
111퍼센트,정리해고로 인해,0.451,원래 의미
111퍼센트,근무시간 또는 근무환경이 나빠서,0.451,원래 의미
111퍼센트,자기(가족) 사업을 하려고,0.44,원래 의미
111퍼센트,일이 임시적이거나 장래성이 없어서,0.421,원래 의미
111퍼센트,일거리가 없거나 적어서,0.421,원래 의미
견우푸드,정리해고로 인해,0.507,원래 의미
견우푸드,자기(가족) 사업을 하려고,0.477,원래 의미
견우푸드,일거리가 없거나 적어서,0.443,원래 의미
견우푸드,정년퇴직,0.435,원래 의미
견우푸드,일이 임시적이거나 장래성이 없어서,0.414,원래 의미
그렙,정리해고로 인해,0.51,원래 의미
그렙,자기(가족) 사업을 하려고,0.446,원래 의미
그렙,일거리가 없거나 적어서,0.441,원래 의미
그렙,일이 임시적이거나 장래성이 없어서,0.438,원래 의미
그렙,"적성, 지식, 기능 등이 맞지 않아서",0.426,원래 의미
그리드위즈,정리해고로 인해,0.503,원래 의미
그리드위즈,일거리가 없거나 적어서,0.449,원래 의미
그리드위즈,자기(가족) 사업을 하려고,0.439,원래 의미
그리드위즈,일이 임시적이거나 장래성이 없어서,0.427,원래 의미
그리드위즈,근무시간 또는 근무환경이 나빠서,0.418,원래 의미
넵튠,정리해고로 인해,0.453,원래 의미
넵튠,자기(가족) 사업을 하려고,0.418,원래 의미
넵튠,일이 임시적이거나 장래성이 없어서,0.41,원래 의미
넵튠,근무시간 또는 근무환경이 나빠서,0.409,원래 의미
넵튠,"적성, 지식, 기능 등이 맞지 않아서",0.405,원래 의미
데이터메이커,정리해고로 인해,0.487,원래 의미
데이터메이커,일이 임시적이거나 장래성이 없어서,0.448,원래 의미
데이터메이커,일거리가 없거나 적어서,0.448,원래 의미
데이터메이커,자기(가족) 사업을 하려고,0.444,원래 의미
데이터메이커,근무시간 또는 근무환경이 나빠서,0.425,원래 의미
디어유,정리해고로 인해,0.498,원래 의미
디어유,일거리가 없거나 적어서,0.449,원래 의미
디어유,자기(가족) 사업을 하려고,0.448,원래 의미
디어유,일이 임시적이거나 장래성이 없어서,0.438,원래 의미
디어유,근무시간 또는 근무환경이 나빠서,0.432,원래 의미
라포랩스,정리해고로 인해,0.457,원래 의미
라포랩스,자기(가족) 사업을 하려고,0.429,원래 의미
라포랩스,일거리가 없거나 적어서,0.425,원래 의미
라포랩스,근무시간 또는 근무환경이 나빠서,0.412,원래 의미
라포랩스,일이 임시적이거나 장래성이 없어서,0.409,원래 의미
리시드,정리해고로 인해,0.483,원래 의미
리시드,자기(가족) 사업을 하려고,0.451,원래 의미
리시드,일거리가 없거나 적어서,0.438,원래 의미
리시드,근무시간 또는 근무환경이 나빠서,0.411,원래 의미
리시드,일이 임시적이거나 장래성이 없어서,0.404,원래 의미
매드업,자기(가족) 사업을 하려고,0.483,원래 의미
매드업,정리해고로 인해,0.476,원래 의미
매드업,일거리가 없거나 적어서,0.44,원래 의미
매드업,일이 임시적이거나 장래성이 없어서,0.432,원래 의미
매드업,근무시간 또는 근무환경이 나빠서,0.427,원래 의미
미리디,정리해고로 인해,0.481,원래 의미
미리디,일거리가 없거나 적어서,0.463,원래 의미
미리디,자기(가족) 사업을 하려고,0.45,원래 의미
미리디,일이 임시적이거나 장래성이 없어서,0.445,원래 의미
미리디,근무시간 또는 근무환경이 나빠서,0.43,원래 의미
바비톡,정리해고로 인해,0.491,원래 의미
바비톡,일거리가 없거나 적어서,0.439,원래 의미
바비톡,자기(가족) 사업을 하려고,0.435,원래 의미
바비톡,일이 임시적이거나 장래성이 없어서,0.422,원래 의미
바비톡,근무시간 또는 근무환경이 나빠서,0.414,원래 의미
반장창고,정리해고로 인해,0.471,원래 의미
반장창고,일거리가 없거나 적어서,0.437,원래 의미
반장창고,자기(가족) 사업을 하려고,0.415,원래 의미
반장창고,일이 임시적이거나 장래성이 없어서,0.415,원래 의미
반장창고,근무시간 또는 근무환경이 나빠서,0.406,원래 의미
버즈니,정리해고로 인해,0.459,원래 의미
버즈니,자기(가족) 사업을 하려고,0.413,원래 의미
버즈니,근무시간 또는 근무환경이 나빠서,0.412,원래 의미
버즈니,일거리가 없거나 적어서,0.403,원래 의미
버즈니,"적성, 지식, 기능 등이 맞지 않아서",0.398,원래 의미
번개장터,정리해고로 인해,0.474,원래 의미
번개장터,일거리가 없거나 적어서,0.458,원래 의미
번개장터,일이 임시적이거나 장래성이 없어서,0.43,원래 의미
번개장터,자기(가족) 사업을 하려고,0.423,원래 의미
번개장터,"적성, 지식, 기능 등이 맞지 않아서",0.417,원래 의미
베스핀글로벌,정리해고로 인해,0.507,원래 의미
베스핀글로벌,일거리가 없거나 적어서,0.46,원래 의미
베스핀글로벌,자기(가족) 사업을 하려고,0.458,원래 의미
베스핀글로벌,정년퇴직,0.438,원래 의미
베스핀글로벌,일이 임시적이거나 장래성이 없어서,0.432,원래 의미
뷰노,정리해고로 인해,0.481,원래 의미
뷰노,일거리가 없거나 적어서,0.44,원래 의미
뷰노,자기(가족) 사업을 하려고,0.436,원래 의미
뷰노,근무시간 또는 근무환경이 나빠서,0.426,원래 의미
뷰노,일이 임시적이거나 장래성이 없어서,0.415,원래 의미
센트비,정리해고로 인해,0.476,원래 의미
센트비,일거리가 없거나 적어서,0.434,원래 의미
센트비,자기(가족) 사업을 하려고,0.421,원래 의미
센트비,근무시간 또는 근무환경이 나빠서,0.414,원래 의미
센트비,정년퇴직,0.403,원래 의미
슈어소프트테크,정리해고로 인해,0.479,원래 의미
슈어소프트테크,일거리가 없거나 적어서,0.457,원래 의미
슈어소프트테크,자기(가족) 사업을 하려고,0.424,원래 의미
슈어소프트테크,일이 임시적이거나 장래성이 없어서,0.413,원래 의미
슈어소프트테크,정년퇴직,0.409,원래 의미
슈퍼센트,정리해고로 인해,0.444,원래 의미
슈퍼센트,자기(가족) 사업을 하려고,0.437,원래 의미
슈퍼센트,일거리가 없거나 적어서,0.42,원래 의미
슈퍼센트,근무시간 또는 근무환경이 나빠서,0.407,원래 의미
슈퍼센트,일이 임시적이거나 장래성이 없어서,0.404,원래 의미
슈프리마,정리해고로 인해,0.482,원래 의미
슈프리마,일거리가 없거나 적어서,0.457,원래 의미
슈프리마,자기(가족) 사업을 하려고,0.44,원래 의미
슈프리마,정년퇴직,0.421,원래 의미
슈프리마,일이 임시적이거나 장래성이 없어서,0.42,원래 의미
스마트푸드네트웍스,정리해고로 인해,0.491,원래 의미
스마트푸드네트웍스,일거리가 없거나 적어서,0.432,원래 의미
스마트푸드네트웍스,자기(가족) 사업을 하려고,0.423,원래 의미
스마트푸드네트웍스,일이 임시적이거나 장래성이 없어서,0.422,원래 의미
스마트푸드네트웍스,"적성, 지식, 기능 등이 맞지 않아서",0.421,원래 의미
스푼랩스,정리해고로 인해,0.481,원래 의미
스푼랩스,근무시간 또는 근무환경이 나빠서,0.44,원래 의미
스푼랩스,자기(가족) 사업을 하려고,0.438,원래 의미
스푼랩스,일거리가 없거나 적어서,0.437,원래 의미
스푼랩스,일이 임시적이거나 장래성이 없어서,0.415,원래 의미
시나몬,정리해고로 인해,0.476,원래 의미
시나몬,자기(가족) 사업을 하려고,0.453,원래 의미
시나몬,일거리가 없거나 적어서,0.439,원래 의미
시나몬,일이 임시적이거나 장래성이 없어서,0.438,원래 의미
시나몬,근무시간 또는 근무환경이 나빠서,0.426,원래 의미
싸이버로지텍,정리해고로 인해,0.478,원래 의미
싸이버로지텍,일이 임시적이거나 장래성이 없어서,0.425,원래 의미
싸이버로지텍,일거리가 없거나 적어서,0.422,원래 의미
싸이버로지텍,자기(가족) 사업을 하려고,0.42,원래 의미
싸이버로지텍,"적성, 지식, 기능 등이 맞지 않아서",0.42,원래 의미
쎄크,정리해고로 인해,0.511,원래 의미
쎄크,일거리가 없거나 적어서,0.461,원래 의미
쎄크,자기(가족) 사업을 하려고,0.453,원래 의미
쎄크,일이 임시적이거나 장래성이 없어서,0.437,원래 의미
쎄크,근무시간 또는 근무환경이 나빠서,0.426,원래 의미
씨와이오토텍,정리해고로 인해,0.52,원래 의미
씨와이오토텍,일거리가 없거나 적어서,0.462,원래 의미
씨와이오토텍,자기(가족) 사업을 하려고,0.462,원래 의미
씨와이오토텍,정년퇴직,0.441,원래 의미
씨와이오토텍,일이 임시적이거나 장래성이 없어서,0.423,원래 의미
아주큐엠에스,정리해고로 인해,0.508,원래 의미
아주큐엠에스,일거리가 없거나 적어서,0.445,원래 의미
아주큐엠에스,자기(가족) 사업을 하려고,0.425,원래 의미
아주큐엠에스,일이 임시적이거나 장래성이 없어서,0.419,원래 의미
아주큐엠에스,"적성, 지식, 기능 등이 맞지 않아서",0.418,원래 의미
알라딘커뮤니케이션,정리해고로 인해,0.48,원래 의미
알라딘커뮤니케이션,자기(가족) 사업을 하려고,0.472,원래 의미
알라딘커뮤니케이션,일거리가 없거나 적어서,0.46,원래 의미
알라딘커뮤니케이션,일이 임시적이거나 장래성이 없어서,0.446,원래 의미
알라딘커뮤니케이션,근무시간 또는 근무환경이 나빠서,0.436,원래 의미
에이아이트릭스,정리해고로 인해,0.492,원래 의미
에이아이트릭스,"적성, 지식, 기능 등이 맞지 않아서",0.418,원래 의미
에이아이트릭스,근무시간 또는 근무환경이 나빠서,0.415,원래 의미
에이아이트릭스,일거리가 없거나 적어서,0.411,원래 의미
에이아이트릭스,일이 임시적이거나 장래성이 없어서,0.41,원래 의미
에잇퍼센트,정리해고로 인해,0.488,원래 의미
에잇퍼센트,일거리가 없거나 적어서,0.421,원래 의미
에잇퍼센트,"적성, 지식, 기능 등이 맞지 않아서",0.414,원래 의미
에잇퍼센트,일이 임시적이거나 장래성이 없어서,0.41,원래 의미
에잇퍼센트,자기(가족) 사업을 하려고,0.404,원래 의미
에프피티소프트웨어코리아,정리해고로 인해,0.456,원래 의미
에프피티소프트웨어코리아,자기(가족) 사업을 하려고,0.403,원래 의미
에프피티소프트웨어코리아,일거리가 없거나 적어서,0.398,원래 의미
에프피티소프트웨어코리아,일이 임시적이거나 장래성이 없어서,0.385,원래 의미
에프피티소프트웨어코리아,정년퇴직,0.381,원래 의미
엠로,정리해고로 인해,0.477,원래 의미
엠로,자기(가족) 사업을 하려고,0.447,원래 의미
엠로,일이 임시적이거나 장래성이 없어서,0.438,원래 의미
엠로,일거리가 없거나 적어서,0.432,원래 의미
엠로,근무시간 또는 근무환경이 나빠서,0.419,원래 의미
오직,정리해고로 인해,0.474,원래 의미
오직,자기(가족) 사업을 하려고,0.465,원래 의미
오직,일이 임시적이거나 장래성이 없어서,0.444,원래 의미
오직,일거리가 없거나 적어서,0.434,원래 의미
오직,근무시간 또는 근무환경이 나빠서,0.429,원래 의미
오픈소스컨설팅,정리해고로 인해,0.496,원래 의미
오픈소스컨설팅,일거리가 없거나 적어서,0.427,원래 의미
오픈소스컨설팅,자기(가족) 사업을 하려고,0.423,원래 의미
오픈소스컨설팅,근무시간 또는 근무환경이 나빠서,0.414,원래 의미
오픈소스컨설팅,회사 내 인간관계 때문에,0.402,원래 의미
와이즈넛,정리해고로 인해,0.496,원래 의미
와이즈넛,일거리가 없거나 적어서,0.459,원래 의미
와이즈넛,자기(가족) 사업을 하려고,0.448,원래 의미
와이즈넛,일이 임시적이거나 장래성이 없어서,0.435,원래 의미
